ticker,timeframe,bar_close_utc,bar_close_est,signal,close_price
LLY,2H,2026-01-14 18:30 UTC,2026-01-14 13:30 ET,SHORT,1071.65
MRNA,2H,2026-01-13 20:30 UTC,2026-01-13 15:30 ET,LONG,39.63
INTU,3H,2026-01-13 17:30 UTC,2026-01-13 12:30 ET,SHORT,605.94
CRM,2H,2026-01-13 16:30 UTC,2026-01-13 11:30 ET,SHORT,242.955
INTU,2H,2026-01-13 16:30 UTC,2026-01-13 11:30 ET,SHORT,612.465
MRNA,2H,2026-01-13 14:30 UTC,2026-01-13 09:30 ET,SHORT,37.945
WMT,4H,2026-01-12 18:30 UTC,2026-01-12 13:30 ET,LONG,117.98
WMT,3H,2026-01-12 17:30 UTC,2026-01-12 12:30 ET,LONG,118.345
LLY,4H,2026-01-09 14:30 UTC,2026-01-09 09:30 ET,LONG,1079.32
INTU,3H,2026-01-08 20:30 UTC,2026-01-08 15:30 ET,LONG,652.89
LLY,3H,2026-01-08 14:30 UTC,2026-01-08 09:30 ET,LONG,1097.285
CRM,2H,2026-01-07 20:30 UTC,2026-01-07 15:30 ET,LONG,266.06
LLY,2H,2026-01-07 20:30 UTC,2026-01-07 15:30 ET,LONG,1108.08
INTU,2H,2026-01-07 20:30 UTC,2026-01-07 15:30 ET,LONG,651.27
MRNA,4H,2026-01-07 18:30 UTC,2026-01-07 13:30 ET,LONG,35.9
LLY,4H,2026-01-07 14:30 UTC,2026-01-07 09:30 ET,SHORT,1102.115
MRNA,3H,2026-01-06 20:30 UTC,2026-01-06 15:30 ET,LONG,35.68
CRM,4H,2026-01-06 14:30 UTC,2026-01-06 09:30 ET,SHORT,261.89
MRNA,2H,2026-01-06 14:30 UTC,2026-01-06 09:30 ET,LONG,35.52
LLY,3H,2026-01-05 17:30 UTC,2026-01-05 12:30 ET,SHORT,1040.17
LLY,2H,2026-01-05 14:30 UTC,2026-01-05 09:30 ET,SHORT,1041.31
CRM,3H,2026-01-02 20:30 UTC,2026-01-02 15:30 ET,SHORT,253.62
INTU,4H,2026-01-02 18:30 UTC,2026-01-02 13:30 ET,SHORT,629.47
CRM,2H,2026-01-02 16:30 UTC,2026-01-02 11:30 ET,SHORT,254.2
INTU,3H,2026-01-02 14:30 UTC,2026-01-02 09:30 ET,SHORT,629.66
INTU,2H,2025-12-31 18:30 UTC,2025-12-31 13:30 ET,SHORT,663.33
WMT,2H,2025-12-31 16:30 UTC,2025-12-31 11:30 ET,LONG,111.5521
MRNA,4H,2025-12-31 14:30 UTC,2025-12-31 09:30 ET,SHORT,29.685
MRNA,3H,2025-12-29 17:30 UTC,2025-12-29 12:30 ET,SHORT,31.185
MRNA,2H,2025-12-26 20:30 UTC,2025-12-26 15:30 ET,SHORT,31.19
CRM,4H,2025-12-26 18:30 UTC,2025-12-26 13:30 ET,LONG,266.08
WMT,4H,2025-12-23 18:30 UTC,2025-12-23 13:30 ET,SHORT,110.85
CRM,3H,2025-12-23 17:30 UTC,2025-12-23 12:30 ET,LONG,263.805
WMT,3H,2025-12-23 17:30 UTC,2025-12-23 12:30 ET,SHORT,111.1364
CRM,2H,2025-12-22 16:30 UTC,2025-12-22 11:30 ET,LONG,263.54
WMT,2H,2025-12-19 20:30 UTC,2025-12-19 15:30 ET,SHORT,114.45
CRM,4H,2025-12-17 18:30 UTC,2025-12-17 13:30 ET,SHORT,258.17
LLY,4H,2025-12-17 18:30 UTC,2025-12-17 13:30 ET,LONG,1041.59
CRM,3H,2025-12-15 20:30 UTC,2025-12-15 15:30 ET,SHORT,254.58
CRM,2H,2025-12-15 18:30 UTC,2025-12-15 13:30 ET,SHORT,253.96
LLY,3H,2025-12-12 20:30 UTC,2025-12-12 15:30 ET,LONG,1027.87
WMT,3H,2025-12-12 20:30 UTC,2025-12-12 15:30 ET,LONG,116.69
WMT,2H,2025-12-12 18:30 UTC,2025-12-12 13:30 ET,LONG,116.62
LLY,2H,2025-12-11 20:30 UTC,2025-12-11 15:30 ET,LONG,1009.17
INTU,4H,2025-12-11 18:30 UTC,2025-12-11 13:30 ET,LONG,675.861
WMT,3H,2025-12-11 17:30 UTC,2025-12-11 12:30 ET,SHORT,115.575
WMT,2H,2025-12-09 16:30 UTC,2025-12-09 11:30 ET,SHORT,114.18
MRNA,4H,2025-12-08 14:30 UTC,2025-12-08 09:30 ET,LONG,27.7
MRNA,3H,2025-12-05 14:30 UTC,2025-12-05 09:30 ET,LONG,26.89
INTU,3H,2025-12-05 14:30 UTC,2025-12-05 09:30 ET,LONG,670.025
CRM,4H,2025-12-04 18:30 UTC,2025-12-04 13:30 ET,LONG,247.59
INTU,2H,2025-12-04 16:30 UTC,2025-12-04 11:30 ET,LONG,658.26
LLY,4H,2025-12-04 14:30 UTC,2025-12-04 09:30 ET,SHORT,1015.74
LLY,3H,2025-12-02 20:30 UTC,2025-12-02 15:30 ET,SHORT,1045.37
LLY,2H,2025-12-02 14:30 UTC,2025-12-02 09:30 ET,SHORT,1060.77
CRM,3H,2025-11-28 17:30 UTC,2025-11-28 12:30 ET,LONG,230.54
MRNA,2H,2025-11-28 16:30 UTC,2025-11-28 11:30 ET,LONG,25.98
INTU,2H,2025-11-26 16:30 UTC,2025-11-26 11:30 ET,SHORT,630.41
CRM,2H,2025-11-25 20:30 UTC,2025-11-25 15:30 ET,LONG,234.01
INTU,2H,2025-11-21 20:30 UTC,2025-11-21 15:30 ET,LONG,663.021
WMT,3H,2025-11-20 20:30 UTC,2025-11-20 15:30 ET,LONG,107.17
MRNA,3H,2025-11-20 20:30 UTC,2025-11-20 15:30 ET,SHORT,22.36
WMT,2H,2025-11-20 18:30 UTC,2025-11-20 13:30 ET,LONG,107.51
MRNA,2H,2025-11-19 18:30 UTC,2025-11-19 13:30 ET,SHORT,24.245
WMT,3H,2025-11-19 14:30 UTC,2025-11-19 09:30 ET,SHORT,100.23
CRM,2H,2025-11-18 14:30 UTC,2025-11-18 09:30 ET,SHORT,233.06
WMT,2H,2025-11-14 18:30 UTC,2025-11-14 13:30 ET,SHORT,102.355
MRNA,3H,2025-11-12 20:30 UTC,2025-11-12 15:30 ET,LONG,26.715
CRM,2H,2025-11-12 18:30 UTC,2025-11-12 13:30 ET,LONG,246.24
WMT,4H,2025-11-12 14:30 UTC,2025-11-12 09:30 ET,LONG,103.275
MRNA,2H,2025-11-11 20:30 UTC,2025-11-11 15:30 ET,LONG,26.43
WMT,3H,2025-11-07 20:30 UTC,2025-11-07 15:30 ET,LONG,102.61
INTU,4H,2025-11-07 14:30 UTC,2025-11-07 09:30 ET,SHORT,638.915
CRM,4H,2025-11-06 18:30 UTC,2025-11-06 13:30 ET,SHORT,239.33
WMT,2H,2025-11-05 18:30 UTC,2025-11-05 13:30 ET,LONG,101.6952
MRNA,4H,2025-11-05 14:30 UTC,2025-11-05 09:30 ET,SHORT,23.62
MRNA,2H,2025-11-04 16:30 UTC,2025-11-04 11:30 ET,SHORT,24.05
